"","data","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","casi_da_sospetto_diagnostico","casi_da_screening","totale_casi","tamponi","casi_testati","ingressi_terapia_intensiva","nuovi_tamponi","color"
"1",2020-10-01,307,20,327,2609,2936,70,156,4026,312,4726,2548,7274,490482,358336,NA,6637,"bianco"
"2",2020-10-02,303,21,324,2724,3048,112,140,4052,314,4821,2593,7414,496034,362142,NA,5552,"bianco"
"3",2020-10-03,322,20,342,2829,3171,123,182,4108,317,4931,2665,7596,502672,366048,NA,6638,"bianco"
"4",2020-10-04,329,24,353,2894,3247,76,85,4115,319,4981,2700,7681,506170,368405,NA,3498,"bianco"
"5",2020-10-05,361,28,389,2969,3358,111,128,4130,321,5062,2747,7809,508826,370087,NA,2656,"bianco"
"6",2020-10-06,368,28,396,3052,3448,90,198,4237,322,5174,2833,8007,515580,374604,NA,6754,"bianco"
"7",2020-10-07,375,30,405,3144,3549,101,213,4345,326,5299,2921,8220,522159,378610,NA,6579,"bianco"
"8",2020-10-08,376,33,409,3287,3696,147,259,4454,329,5441,3038,8479,529533,383416,NA,7374,"bianco"
"9",2020-10-09,376,35,411,3490,3901,205,233,4478,333,5583,3129,8712,536684,387714,NA,7151,"bianco"
"10",2020-10-10,387,35,422,3721,4143,242,285,4519,335,5782,3215,8997,544425,392395,NA,7741,"bianco"
"11",2020-10-11,388,38,426,3975,4401,258,297,4557,336,5953,3341,9294,548934,395172,NA,4509,"bianco"
"12",2020-10-12,404,42,446,4236,4682,281,298,4571,339,6133,3459,9592,552826,397546,NA,3892,"bianco"
"13",2020-10-13,426,44,470,4407,4877,195,334,4708,341,6366,3560,9926,561166,402751,NA,8340,"bianco"
"14",2020-10-14,447,49,496,4691,5187,310,366,4762,343,6582,3710,10292,568187,407145,NA,7021,"bianco"
"15",2020-10-15,468,52,520,4967,5487,300,399,4854,350,6856,3835,10691,575631,411784,NA,7444,"bianco"
"16",2020-10-16,471,58,529,5405,5934,447,578,4975,360,7238,4031,11269,583340,416980,NA,7709,"bianco"
"17",2020-10-17,479,61,540,5741,6281,347,475,5101,362,7493,4251,11744,589079,422068,NA,5739,"bianco"
"18",2020-10-18,493,70,563,6227,6790,509,548,5137,365,7835,4457,12292,595469,426503,NA,6390,"bianco"
"19",2020-10-19,521,72,593,6426,7019,229,362,5267,368,8095,4559,12654,598721,428508,NA,3252,"bianco"
"20",2020-10-20,542,77,619,6878,7497,478,574,5353,378,8485,4743,13228,606852,434040,NA,8131,"bianco"
"21",2020-10-21,565,83,648,7202,7850,353,562,5551,389,8879,4911,13790,614264,437540,NA,7412,"bianco"
"22",2020-10-22,588,89,677,7863,8540,690,796,5649,397,9374,5212,14586,621996,442472,NA,7732,"bianco"
"23",2020-10-23,593,89,682,8454,9136,596,730,5772,408,9894,5422,15316,630011,447704,NA,8015,"bianco"
"24",2020-10-24,606,90,696,9193,9889,753,886,5896,417,10410,5792,16202,637158,452738,NA,7147,"bianco"
"25",2020-10-25,642,95,737,9818,10555,666,695,5914,428,10855,6042,16897,642351,456572,NA,5193,"bianco"
