country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-16,-2,0,45,-10,-22,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-17,0,1,60,-11,-23,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-18,-3,-1,65,-11,-22,0
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-19,-6,-6,71,1,-9,-3
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-20,-9,-13,53,4,10,-5
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-21,-5,-5,40,-8,-23,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-22,-3,1,58,-5,-22,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-23,-4,3,45,-8,-21,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-24,-2,7,57,-5,-21,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-25,-6,4,47,-9,-21,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-26,-11,2,25,-5,-9,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-27,-23,-16,-8,-12,2,3
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-28,-3,6,31,-7,-19,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-29,-3,7,43,-6,-19,2
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-09-30,-3,9,43,-5,-19,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-10-01,-5,11,35,-3,-17,1
IT,Italy,Sicily,"","",IT-82,,ChIJs1lT0GhiEBMRUH22ZykECwE,2020-10-02,-5,9,45,0,-17,0
