Categoria: Tutte le categorie

Giorno,contatto positivo: (Sicilia)
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,28
2020-10-05,0
2020-10-06,0
2020-10-07,25
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,24
2020-10-13,25
2020-10-14,0
2020-10-15,25
2020-10-16,27
2020-10-17,28
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,26
2020-10-23,27
2020-10-24,0
2020-10-25,28
2020-10-26,24
2020-10-27,0
2020-10-28,25
2020-10-29,26
2020-10-30,0
2020-10-31,30
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,24
2020-11-07,0
2020-11-08,27
2020-11-09,72
2020-11-10,25
2020-11-11,0
2020-11-12,50
2020-11-13,100
2020-11-14,28
2020-11-15,28
2020-11-16,0
2020-11-17,24
2020-11-18,24
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,24
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,48
2020-12-01,0
2020-12-02,24
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,27
2020-12-09,23
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,54
2020-12-14,24
2020-12-15,0
2020-12-16,0
2020-12-17,25
2020-12-18,0
2020-12-19,28
2020-12-20,27
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,31
2020-12-25,0
2020-12-26,0
2020-12-27,26
2020-12-28,25
2020-12-29,0
2020-12-30,27
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,26
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,23
2021-01-12,0
2021-01-13,0
2021-01-14,24
2021-01-15,24
2021-01-16,0
2021-01-17,26
2021-01-18,0
2021-01-19,0
2021-01-20,23
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,25
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,27
2021-02-08,25
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
