Categoria: Tutte le categorie

Giorno,Tampone rinofaringeo: (Sicilia)
2020-10-01,27
2020-10-02,26
2020-10-03,34
2020-10-04,31
2020-10-05,31
2020-10-06,33
2020-10-07,28
2020-10-08,35
2020-10-09,47
2020-10-10,27
2020-10-11,37
2020-10-12,28
2020-10-13,44
2020-10-14,45
2020-10-15,26
2020-10-16,62
2020-10-17,43
2020-10-18,40
2020-10-19,75
2020-10-20,39
2020-10-21,50
2020-10-22,79
2020-10-23,70
2020-10-24,79
2020-10-25,35
2020-10-26,61
2020-10-27,69
2020-10-28,51
2020-10-29,27
2020-10-30,62
2020-10-31,52
2020-11-01,26
2020-11-02,61
2020-11-03,54
2020-11-04,36
2020-11-05,47
2020-11-06,51
2020-11-07,78
2020-11-08,65
2020-11-09,33
2020-11-10,52
2020-11-11,64
2020-11-12,35
2020-11-13,60
2020-11-14,100
2020-11-15,31
2020-11-16,66
2020-11-17,42
2020-11-18,39
2020-11-19,48
2020-11-20,39
2020-11-21,54
2020-11-22,35
2020-11-23,32
2020-11-24,28
2020-11-25,35
2020-11-26,15
2020-11-27,25
2020-11-28,16
2020-11-29,30
2020-11-30,24
2020-12-01,33
2020-12-02,27
2020-12-03,23
2020-12-04,10
2020-12-05,18
2020-12-06,27
2020-12-07,33
2020-12-08,14
2020-12-09,35
2020-12-10,24
2020-12-11,39
2020-12-12,39
2020-12-13,41
2020-12-14,39
2020-12-15,28
2020-12-16,28
2020-12-17,35
2020-12-18,20
2020-12-19,49
2020-12-20,57
2020-12-21,51
2020-12-22,38
2020-12-23,42
2020-12-24,43
2020-12-25,30
2020-12-26,28
2020-12-27,33
2020-12-28,42
2020-12-29,32
2020-12-30,27
2020-12-31,45
2021-01-01,25
2021-01-02,31
2021-01-03,13
2021-01-04,37
2021-01-05,25
2021-01-06,13
2021-01-07,30
2021-01-08,37
2021-01-09,23
2021-01-10,30
2021-01-11,23
2021-01-12,8
2021-01-13,26
2021-01-14,24
2021-01-15,27
2021-01-16,28
2021-01-17,35
2021-01-18,17
2021-01-19,18
2021-01-20,32
2021-01-21,21
2021-01-22,18
2021-01-23,10
2021-01-24,10
2021-01-25,18
2021-01-26,37
2021-01-27,21
2021-01-28,21
2021-01-29,34
2021-01-30,24
2021-01-31,41
2021-02-01,22
2021-02-02,9
2021-02-03,32
2021-02-04,20
2021-02-05,37
2021-02-06,26
2021-02-07,20
2021-02-08,16
2021-02-09,22
2021-02-10,13
2021-02-11,35
2021-02-12,20
2021-02-13,23
2021-02-14,25
2021-02-15,22
